model,iteration,average_prob
Model1,1960000,3.46082e-41
Model1,1980000,3.45666e-41
Model1,2000000,3.45817e-41
Model2,20000,2.66403e-41
Model2,40000,2.90602e-41
Model2,60000,2.66071e-41
Model2,80000,2.74998e-41
Model2,100000,2.81641e-41
Model2,120000,2.67767e-41
Model2,140000,2.61999e-41
Model2,160000,2.59582e-41
Model2,180000,2.64727e-41
Model2,200000,2.68274e-41
Model2,220000,2.66198e-41
Model2,240000,2.66549e-41
Model2,260000,2.64031e-41
Model2,280000,2.61302e-41
Model2,300000,2.64109e-41
Model2,320000,2.65679e-41
Model2,340000,2.66926e-41
Model2,360000,2.6884e-41
Model2,380000,2.69055e-41
Model2,400000,2.70765e-41
Model2,420000,2.67875e-41
Model2,440000,2.66478e-41
Model2,460000,2.64998e-41
Model2,480000,2.64075e-41
Model2,500000,2.62532e-41
Model2,520000,2.60776e-41
Model2,540000,2.61256e-41
Model2,560000,2.61601e-41
Model2,580000,2.60013e-41
Model2,600000,2.60884e-41
Model2,620000,2.62304e-41
Model2,640000,2.62611e-41
Model2,660000,2.64102e-41
Model2,680000,2.65223e-41
Model2,700000,2.66809e-41
Model2,720000,2.66344e-41
Model2,740000,2.66845e-41
Model2,760000,2.66112e-41
Model2,780000,2.66566e-41
Model2,800000,2.66399e-41
Model2,820000,2.6645e-41
Model2,840000,2.65899e-41
Model2,860000,2.66214e-41
Model2,880000,2.66561e-41
Model2,900000,2.6762e-41
Model2,920000,2.66523e-41
Model2,940000,2.66377e-41
Model2,960000,2.65716e-41
Model2,980000,2.65016e-41
Model2,1000000,2.65183e-41
Model2,1020000,2.65096e-41
Model2,1040000,2.65037e-41
Model2,1060000,2.63985e-41
Model2,1080000,2.6364e-41
Model2,1100000,2.63304e-41
Model2,1120000,2.63451e-41
Model2,1140000,2.63685e-41
Model2,1160000,2.63788e-41
Model2,1180000,2.6413e-41
Model2,1200000,2.64207e-41
Model2,1220000,2.6373e-41
Model2,1240000,2.63583e-41
Model2,1260000,2.62768e-41
Model2,1280000,2.62448e-41
Model2,1300000,2.63247e-41
Model2,1320000,2.6312e-41
Model2,1340000,2.63145e-41
Model2,1360000,2.63165e-41
Model2,1380000,2.63468e-41
Model2,1400000,2.63429e-41
Model2,1420000,2.64489e-41
Model2,1440000,2.6464e-41
Model2,1460000,2.65313e-41
Model2,1480000,2.65908e-41
Model2,1500000,2.66172e-41
Model2,1520000,2.65718e-41
Model2,1540000,2.65428e-41
Model2,1560000,2.6547e-41
Model2,1580000,2.65556e-41
Model2,1600000,2.65694e-41
Model2,1620000,2.65495e-41
Model2,1640000,2.65624e-41
Model2,1660000,2.66045e-41
Model2,1680000,2.65578e-41
Model2,1700000,2.65807e-41
Model2,1720000,2.66191e-41
Model2,1740000,2.65873e-41
Model2,1760000,2.65918e-41
Model2,1780000,2.66334e-41
Model2,1800000,2.66112e-41
Model2,1820000,2.66113e-41
Model2,1840000,2.66154e-41
Model2,1860000,2.65828e-41
Model2,1880000,2.66053e-41
Model2,1900000,2.66287e-41
Model2,1920000,2.66032e-41
Model2,1940000,2.65804e-41
Model2,1960000,2.66114e-41
Model2,1980000,2.65996e-41
Model2,2000000,2.66176e-41
Model1,20000,1.7793e-45
Model1,40000,1.71567e-45
Model1,60000,1.75199e-45
Model1,80000,1.7434e-45
Model1,100000,1.75011e-45
Model1,120000,1.81398e-45
Model1,140000,1.81276e-45
Model1,160000,1.82498e-45
Model1,180000,1.81661e-45
Model1,200000,1.82555e-45
Model1,220000,1.81387e-45
Model1,240000,1.81932e-45
Model1,260000,1.81299e-45
Model1,280000,1.81295e-45
Model1,300000,1.8016e-45
Model1,320000,1.78898e-45
Model1,340000,1.79329e-45
Model1,360000,1.79639e-45
Model1,380000,1.79567e-45
Model1,400000,1.79501e-45
Model1,420000,1.79429e-45
Model1,440000,1.79108e-45
Model1,460000,1.7851e-45
Model1,480000,1.78414e-45
Model1,500000,1.78168e-45
Model1,520000,1.78523e-45
Model1,540000,1.77898e-45
Model1,560000,1.78169e-45
Model1,580000,1.79012e-45
Model1,600000,1.79215e-45
Model1,620000,1.79032e-45
Model1,640000,1.79403e-45
Model1,660000,1.78941e-45
Model1,680000,1.78495e-45
Model1,700000,1.78813e-45
Model1,720000,1.78371e-45
Model1,740000,1.78088e-45
Model1,760000,1.77667e-45
Model1,780000,1.77577e-45
Model1,800000,1.77755e-45
Model1,820000,1.77613e-45
Model1,840000,1.77926e-45
Model1,860000,1.77925e-45
